benchmark,result,holes,solve
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0003_Lcm_Nat_Upto/prob_00060_002290__16661886_1.p.stdout,unsat,,2100
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0008_Partial_Zeta_Bounds/prob_00335_015442__19616810_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0008_Partial_Zeta_Bounds/prob_00072_003004__19146500_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0008_Partial_Zeta_Bounds/prob_00381_017329__19681208_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0008_Partial_Zeta_Bounds/prob_00240_011361__19412330_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0008_Partial_Zeta_Bounds/prob_00435_019707__19742318_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0008_Partial_Zeta_Bounds/prob_00133_005878__19231638_1.p.stdout,unsat,,9160
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0008_Partial_Zeta_Bounds/prob_00291_013634__19524668_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0008_Partial_Zeta_Bounds/prob_00197_008909__19307356_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00677_027036__19096704_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00631_025238__19055044_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00472_019194__18860572_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00290_011819__18591022_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00119_004794__18387586_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00235_009712__18545690_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00050_001810__18326852_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00423_017359__18791626_1.p.stdout,unsat,,2878
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00523_021341__18961238_1.p.stdout,,,
