benchmark,result,holes,solve
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0036_BenOr_Proofs/prob_00105_003266__17632972_1.p.stdout,unsat,,2413
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0002_Two_Steps/prob_00019_000440__7016846_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0022_HO_Transition_System/prob_00080_002603__13000364_1.p.stdout,unknown,,1774
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0010_MRU_Vote_Opt/prob_00083_002686__10685720_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0010_MRU_Vote_Opt/prob_00124_004244__10800342_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0010_MRU_Vote_Opt/prob_00170_005966__10975414_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0000_Consensus_Misc/prob_00081_002395__6030166_1.p.stdout,unsat,,26627
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0000_Consensus_Misc/prob_00177_005930__6460938_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0000_Consensus_Misc/prob_00144_004832__6317206_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0000_Consensus_Misc/prob_00056_001662__5909030_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0000_Consensus_Misc/prob_00252_008650__6809654_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0000_Consensus_Misc/prob_00221_007422__6573996_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0000_Consensus_Misc/prob_00106_003448__6161778_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0013_Observing_Quorums_Opt/prob_00125_004689__12136750_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0013_Observing_Quorums_Opt/prob_00101_003601__12016858_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0013_Observing_Quorums_Opt/prob_00069_002011__11895568_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0004_Quorums/prob_00051_001282__7093922_1.p.stdout,unsat,,6082
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0001_Three_Steps/prob_00018_000426__6939304_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0015_Voting_Opt/prob_00105_003567__12647980_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0015_Voting_Opt/prob_00143_004864__12771268_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0015_Voting_Opt/prob_00190_006654__12891494_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0007_Voting/prob_00313_010768__9968406_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0007_Voting/prob_00188_006299__9609352_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0007_Voting/prob_00227_007571__9738984_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0007_Voting/prob_00274_009383__9856736_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0007_Voting/prob_00128_004438__9343698_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0007_Voting/prob_00382_013643__10174956_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0007_Voting/prob_00409_014770__10271496_1.p.stdout,unsat,,13944
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0007_Voting/prob_00342_012099__10075404_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0007_Voting/prob_00149_005261__9444248_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0024_OneThirdRule_Defs/prob_00061_001832__13112416_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Consensus_Refined/0024_OneThirdRule_Defs/prob_00090_002724__13258812_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00138_003504__10672008_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00185_004759__11049030_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00253_006957__11823188_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00238_006377__11650042_1.p.stdout,unsat,,1936
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00076_001964__10250362_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00110_002958__10447472_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00214_005778__11447476_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00166_004244__10855312_1.p.stdout,unsat,,34526
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00201_005344__11250418_1.p.stdout,unsat,,4408
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00057_001372__10049616_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0003_RDR/prob_00267_007539__11966196_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00229_006795__13212140_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00809_027552__18435180_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00844_028987__18897456_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01239_042377__23091262_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00760_025336__17717848_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00858_029512__19139746_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00966_033611__20196130_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01450_050583__25414796_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00359_011029__13901842_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01426_049053__24939172_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01201_041070__22537542_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00898_030978__19586706_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01326_045289__24124588_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01138_039310__21922794_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01008_034922__20796378_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00823_028242__18682360_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01216_041684__22870796_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01120_038907__21777196_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01073_037139__21304192_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01359_046612__24475118_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01271_043676__23469042_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00633_020892__16626080_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01290_044044__23688708_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00874_030035__19349492_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00652_021506__16769956_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00446_014052__14610158_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00281_008415__13507586_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00255_007608__13352832_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00985_034172__20539688_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01107_038422__21643564_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00685_022594__17013868_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01390_047571__24671516_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00335_010135__13801586_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01090_037857__21484458_1.p.stdout,unsat,,37115
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00774_025971__17960114_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00308_009231__13670960_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01438_049815__25169608_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00386_011895__14108106_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00670_022042__16890470_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01413_048457__24792296_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01024_035590__20967230_1.p.stdout,unsat,,5687
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00792_026735__18189214_1.p.stdout,unsat,,2246
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00615_020281__16460310_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00597_019592__16326756_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00944_032859__20040934_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00506_016575__15528614_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00086_002494__13056620_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01254_043060__23267412_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00516_017095__15732510_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00461_014662__14824154_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01346_046092__24261274_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01051_036411__21167576_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01313_044697__23844692_1.p.stdout,unsat,,45911
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00412_012711__14277342_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00538_017690__15920444_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00432_013451__14412168_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00921_031971__19811794_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00710_023368__17133106_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00067_001970__12910444_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00742_024484__17482078_1.p.stdout,unsat,,1969
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00557_018218__16072652_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00479_015292__15053188_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01180_040287__22404352_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00493_015982__15275242_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_01160_039825__22109968_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00577_018961__16193548_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0006_Idempotence/prob_00727_023916__17277164_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0004_Consensus/prob_00042_000810__12098316_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0004_Consensus/prob_00094_002160__12681592_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0004_Consensus/prob_00059_001226__12291002_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0004_Consensus/prob_00071_001589__12491690_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0001_IOA/prob_00299_008527__6066400_1.p.stdout,unsat,,28571
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0001_IOA/prob_00315_009255__6289750_1.p.stdout,unsat,,43823
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0001_IOA/prob_00378_011666__7076862_1.p.stdout,unsat,,1907
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0001_IOA/prob_00363_011044__6794870_1.p.stdout,unsat,,3317
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0001_IOA/prob_00347_010380__6562558_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0001_IOA/prob_00122_003176__5725142_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0001_IOA/prob_00258_007215__5820412_1.p.stdout,unsat,,42661
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00170_007089__8521136_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00085_003331__7506714_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00156_006389__8292738_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00101_004051__7749616_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00239_010202__9280148_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00265_011503__9537544_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00225_009474__9046292_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00066_002589__7347238_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00280_012208__9825754_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00129_005387__8020124_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Abortable_Linearizable_Modules/0002_Simulations/prob_00197_008443__8784694_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00035_001037__14824220_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00122_004417__15067266_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00076_002502__14925838_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00260_009587__15649222_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00148_005306__15178794_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00293_010934__15853650_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00172_006432__15296644_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00201_007450__15401588_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00279_010301__15733444_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00245_009117__15564736_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00096_003119__14987110_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0026_Bernoulli/prob_00225_008196__15481776_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00199_010055__23189824_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00229_011786__23369032_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00214_010938__23290368_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00162_008124__23041974_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00077_003827__22699156_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00133_006766__22881472_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00115_005965__22788172_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00149_007527__22971432_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00182_009009__23118042_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0046_Bernoulli_Zeta/prob_00028_000961__22627524_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00134_005405__16503158_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00235_009479__16931854_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00057_002246__16112602_1.p.stdout,unsat,,45787
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00083_003384__16194874_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00193_007819__16786494_1.p.stdout,unsat,,1901
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00292_012479__17171354_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00028_001006__15942254_1.p.stdout,unsat,,1855
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00270_011520__17087318_1.p.stdout,unsat,,1843
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00099_004084__16320642_1.p.stdout,unsat,,1900
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00047_001693__16028822_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00210_008482__16869374_1.p.stdout,unsat,,20393
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00115_004746__16435764_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00250_010423__17012772_1.p.stdout,unsat,,2173
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00172_007074__16713850_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0034_Periodic_Bernpoly/prob_00159_006347__16603530_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Bernoulli/0045_Bernoulli_FPS/prob_00512_022209__19359758_1.p.stdout,,,
