benchmark,result,holes,solve,check
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/insert_check_heap_access_26_4.smt2.stdout,unsat,,55,39
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/insert_invariant_19_4.smt2.stdout,unsat,,33,38
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/copy_loop_check_heap_access_22_4.smt2.stdout,unsat,,7736,206
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_filter_loop_check_heap_access_32_8.smt2.stdout,unsat,,48,56
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/union_precondition_of_find_38_7.smt2.stdout,unsat,,8211,101
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_insert_postcondition_of_rec_insert_14_4.smt2.stdout,unsat,,48,50
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_copy_loop_precondition_of_rec_copy_loop_45_11.smt2.stdout,unsat,,138,68
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_dispose_precondition_of_rec_dispose_17_4.smt2.stdout,unsat,,7830,219
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_dispose_check_heap_access_15_4.smt2.stdout,unsat,,21,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/pull_strands_check_heap_access_72_2.smt2.stdout,unsat,,21,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/split_loop_invariant_81_3.smt2.stdout,unsat,,389,207
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_concat_check_heap_access_30_2.smt2.stdout,unsat,,34,35
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_filter_check_free_23_4.smt2.stdout,unsat,,23,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_traverse_loop_check_heap_access_22_4.smt2.stdout,unsat,,34,38
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/concat_postcondition_of_concat_24_4.smt2.stdout,unsat,,329,79
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_acc_postcondition_of_rec_reverse_acc_19_4.smt2.stdout,unsat,,1341,90
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_copy_postcondition_of_dl_copy_37_1.smt2.stdout,unsat,,649,119
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_check_heap_access_40_6.smt2.stdout,unsat,,48,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_concat_postcondition_of_dl_concat_21_4.smt2.stdout,unsat,,65,55
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_filter_invariant_19_2.smt2.stdout,unsat,,44,42
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/insert_loop_check_heap_access_23_6.smt2.stdout,unsat,,30,35
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/reverse_loop_check_heap_access_22_4.smt2.stdout,unsat,,28,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/concat_check_heap_access_23_4.smt2.stdout,unsat,,65,41
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/copy_loop_invariant_24_3.smt2.stdout,unsat,,1072,131
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_acc_postcondition_of_rec_reverse_acc_14_4.smt2.stdout,unsat,,35,43
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/remove_postcondition_of_remove_33_4.smt2.stdout,unsat,,178,44
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/split_loop_check_heap_access_77_4.smt2.stdout,unsat,,32,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_reverse_loop_check_heap_access_24_4.smt2.stdout,unsat,,37,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/union_check_heap_access_40_4.smt2.stdout,unsat,,89,42
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_copy_loop_postcondition_of_rec_copy_loop_45_4.smt2.stdout,unsat,,23556,406
